Year,Bubonic plague,Chikungunya,Cholera,Coronavirus disease 2019,Dengue fever,Diphtheria,Ebola,Encephalitis lethargica,Epidemic typhus,Hepatitis B,Hepatitis E,HIV/AIDS,Influenza,Influenza A virus subtype H1N1,Influenza A virus subtype H2N2,Influenza A virus subtype H3N2,Japanese encephalitis,Malaria,Measles,Meningitis,Middle East respiratory syndrome (MERS),Mumps,Neonatal tetanus,Nipah virus infection,Pertussis,Plague,Poliomyelitis,Salmonella enterica,Severe acute respiratory syndrome (SARS),Smallpox,Tuberculosis,Yellow fever
1980,,,1954,,,97164,,,,,,,,,,,,,3852242,,,,13005,,1968363,,52630,,,,,144
1981,,,2441,,,74098,,,,,,,,,,,,,4078455,,,,13284,,1795493,,65737,,,,,238
1982,,,3821,,,60040,,,,,,,,,,,,,3623758,,,,18008,,1814178,,51628,,,,,171
1983,,,2668,,,49797,,,,,,,,,,,,,3586101,,,,15870,,1362689,,39973,,,,,793
1984,,,1830,,,45235,,,,,,,,,,,,,3026973,,,,18483,,1025918,,35084,,,,,1012
1985,,,4114,,,42335,,,,,,,,,,,,,2819553,,,,17438,,1007832,,38483,,,,,138
1986,,,3966,,,29132,,,,,,,,,,,,,2078696,,,,20394,,835431,,32846,,,,,1477
1987,,,3009,,,27754,,,,,,,,,,,,,1682847,,,,18985,,688441,,39683,,,,,3247
1988,,,2855,,,31526,,,,,,,,,,,,,1663940,,,,31886,,523574,,34617,,,,,5344
1989,,,1711,,,29779,,,,,,,,,,,,,1822390,,,,29064,,596488,,26104,,,,,3507
1990,,,2802,,,22133,,,,,,,,,,,,,1325074,,,,25293,,442492,,23053,,,,,4339
1991,,,19302,,,24738,,,,,,,,,,,,,1370243,,,,23717,,430493,,13274,,,,,2712
1992,,,8214,,,20851,,,,,,,,,,,,,1481192,,,,15829,,255494,,15304,,,,,295
1993,,,6761,,,31242,,,,,,,,,,,,,1143945,,,,15985,,237133,,10500,,,,,410
1994,,,10750,,,54816,,,,,,,,,,,,,926808,,,,12872,,253822,52,8666,,,,,1440
1995,,,5045,,,56965,,,,,,,,,,,,,720391,,,,10538,,164976,,7043,,,,,1219
1996,,,6418,,,28624,,,,,,,,,,,,,870218,,,,13091,,141339,,4070,,,,,439
1997,,,6371,,,14767,,,,,,,,,,,,,825673,,,,15766,,168111,,5186,,,,,193
1998,,,10832,,,7441,,,,,,,,,,,,,694466,,,,16628,105,188975,,6347,,,,,309
1999,,,9221,,,4810,,,,,,,,,,,,,752407,,,558122,10985,,116297,,7141,,,,,216
2000,,,5269,,,11625,,,,,,,,,,,,,853479,,,544093,17935,,190475,,2971,,,,1700000,699
2001,,,2897,,,10725,,,,,,,,,,,,,849173,,,412341,14017,,174847,,496,,,,1680000,656
2002,,,4564,,,9035,,,,,,,,,,,49,,586471,,,487932,11633,,135944,,1922,,387,,1710000,715
2003,,,1894,,,7154,,,,,,,,,,,37,,679856,,,334524,9043,,116598,,784,,,,1670000,739
2004,,,2345,,,10069,7,,,,,,,,,,39,,513406,,,654216,9414,,245377,,1256,,,,1610000,1376
2005,,254,2272,,27,8137,,,,,,,,,,,78,,585701,,,619062,9848,,152784,,2033,,,,1590000,591
2006,,2950,6300,,100,4333,,,,,,,,,,,8040,,377576,,,643321,8416,,127410,61,2023,,,,1550000,358
2007,,,4033,,,4642,224,,,,,,,,,,9487,,285031,,,407873,6225,,139521,,1390,,,,1520000,265
2008,,,5143,,,4978,,,,,,,,,,,5198,,278751,,,537740,6635,,148095,,1736,,,,1480000,372
2009,,,4946,,18,4349,,,,49,,,18500,,,363550,5163,,278637,931,,546684,5611,,166592,,1789,,,,1450000,136
2010,,,7543,,,4603,,,,,,921260,,,,,3856,607079,343806,,,619389,5085,,161234,,1412,,,,1420000,737
2011,,,7781,,350,5626,,,,,,902353,,,,,3392,560976,359332,,,726638,4295,,173441,,717,,,,1400000,2591
2012,,,3034,,,4490,,,,,,883445,,,,,2351,528784,212376,,107,687934,4654,,250330,,294,,,,1370000,262
2013,,92,2102,,,4680,3767,,,,,864538,,,,,3871,500341,275307,,,516316,4149,,162016,,482,,,,1350000,294
2014,13,,2231,,,7774,,,,,36,845630,,,,,4810,483273,282078,,,311599,2238,,177083,,415,,,,1340000,54
2015,,,1304,,,4535,,,,65400,,826723,,2035,,,4086,468768,214816,,,385736,3580,,149089,,106,,,,1310000,72
2016,,,3392,,,7101,,,,,,807815,,,,,5399,450759,132413,,,591684,1997,,174177,,42,,,,1290000,1154
2017,,,,,,8819,,,,,,788908,,,,,4668,435102,173457,,,560622,2266,,162938,,96,,,,1270000,876
2018,,,,,,16648,1127,,,,,770000,,,,,4402,,353236,,,499037,1803,18,151074,,104,,,,1240000,2064
2019,,,,37126,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,
